stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,118092,1498140,18.27,131,274043,14.48,37,21.78
00401A,17872,258395,28.3,25,73183,25.95,14,20.4
00402A,57394,880627,18.81,139,165823,10.75,24,20.64
00403A,1024348,16506019,19.13,1867,3160395,13.5,339,17.89
00404A,21872,290795,14.5,34,42209,9.71,9,24.35
00405A,130081,2449245,20.84,343,510827,14.15,73,15.86
00406A,35110,711062,20.27,104,144303,13.55,23,15.97
0050,3179622,20418000,28.8,840,5884892,27.16,248,25.75
0051,12803,24500,14.66,5,3594,0,0,55.25
0052,464510,2549500,19.62,153,500786,17.47,63,36.53
0053,5839,5488,26.98,2,1481,18.89,1,44.77
0055,11838,84154,42.61,16,35872,34.95,4,26.94
0056,1567475,13583034,12.65,679,1720770,10.4,150,25.69
0057,3009,1527,0,0,0,0,0,28.54
0061,6321,100116,31.95,22,31997,22.48,6,15.63
006201,3341,20446,49.35,7,10092,35.37,2,29.26
006203,1163,10218,77.0,5,7869,55.03,2,8.92
006204,1133,1500,0,0,0,0,0,45.89
006205,9259,97439,45.11,28,43974,33.12,8,17.89
006206,3336,28778,19.84,4,5713,14.41,2,24.91
006207,1586,21392,17.33,6,3709,5.16,1,16.73
006208,693298,1829540,10.97,60,201142,10.3,39,51.74
00631L,267445,5788848,32.05,1215,1856513,22.62,287,10.29
00632R,63304,2334708,42.44,747,991348,27.86,194,5.37
00633L,3629,116958,32.28,32,37772,21.2,11,6.93
00634R,801,47256,55.36,14,26169,42.62,6,3.61
00635U,56325,285014,19.01,28,54227,16.16,15,34.56
00636,8539,102325,23.62,22,24190,15.75,7,19.32
00637L,11939,748606,55.78,285,417730,39.73,92,3.55
00638R,541,26948,54.16,11,14601,35.17,2,4.64
00639,5911,105403,29.68,29,31314,18.15,10,12.6
00640L,1370,7419,21.43,2,1591,15.17,1,26.86
00641R,1326,74758,50.66,29,37888,37.22,12,3.66
00642U,11464,110321,39.41,20,43503,33.26,9,21.34
00643,3390,77073,37.97,19,29277,25.59,5,11.38
00645,10180,44497,24.22,9,10790,15.54,3,36.58
00646,106515,558485,41.07,65,229503,37.08,28,25.95
00647L,1642,6416,26.97,1,1731,26.97,1,28.8
00648R,2418,143688,47.04,38,67631,36.05,13,3.54
00650L,2691,127838,47.0,57,60115,30.15,19,4.61
00651R,395,32192,70.71,17,22773,49.41,6,2.5
00652,10090,67535,30.11,14,20341,24.79,7,28.35
00653L,1431,16403,16.53,2,2713,12.7,1,19.23
00654R,396,19466,50.57,8,9848,33.28,2,4.43
00655L,2249,59458,29.82,21,17742,14.28,4,8.56
00656R,335,20357,71.6,12,14580,46.96,4,3.3
00657,1666,6584,21.67,2,1427,0,0,37.65
00660,1087,7531,30.91,4,2328,0,0,18.05
00661,7173,23425,18.09,5,4241,5.67,1,41.18
00662,99040,821529,39.72,80,326522,36.35,30,15.36
00663L,16013,146663,25.35,22,37198,19.47,9,22.06
00664R,6851,765075,58.17,365,445215,38.88,128,1.63
00665L,5904,499965,58.51,184,292610,45.83,81,2.34
00666R,119,14624,83.34,5,12189,83.34,5,1.19
00668,2028,7533,25.11,2,1892,15.58,1,33.12
00669R,3257,206117,46.07,64,94999,34.69,25,3.41
00670L,12172,74145,12.83,11,9535,5.58,2,27.62
00671R,3712,545384,69.19,219,377460,52.15,72,1.22
00673R,11300,659051,48.8,209,321759,35.08,62,3.56
00674R,1510,16421,42.61,4,6998,42.61,4,17.33
00675L,19719,113786,21.5,13,24483,17.8,6,30.35
00676R,4313,172834,39.62,52,68519,26.9,19,4.71
00678,1758,7948,34.98,6,2781,0,0,29.7
00679B,248670,6801692,43.77,720,2978221,38.9,161,8.77
00680L,20989,1653576,54.61,564,903279,39.7,164,2.62
00681R,111,7594,91.2,4,6927,80.28,3,2.13
00682U,283,7644,75.43,4,5767,51.55,2,4.18
00683L,358,11434,58.4,5,6679,50.09,3,5.71
00684R,191,9688,79.66,6,7719,52.54,3,3.66
00685L,34530,86139,7.46,8,6437,4.32,3,45.58
00686R,1769,186776,61.42,81,114758,43.87,30,1.87
00687B,167150,5133135,46.59,614,2392856,41.23,153,7.86
00688L,10174,693115,48.43,232,335822,34.39,75,3.03
00689R,61,6889,82.83,5,5707,57.83,2,0.71
00690,13823,80330,13.17,13,10596,5.25,3,35.92
00692,91298,614780,17.36,35,106873,15.29,16,33.39
00693U,3887,89666,36.82,25,33031,29.18,13,10.04
00694B,2033,38076,73.45,8,27972,69.71,6,9.26
00695B,2317,38686,73.66,8,28503,69.79,6,10.87
00696B,11479,658681,83.71,27,551498,83.02,20,4.0
00697B,6670,64712,24.8,13,16061,21.0,9,22.44
00700,2769,35483,13.59,7,4830,3.17,1,17.39
00701,38638,174891,9.21,14,16120,7.04,7,49.92
00702,1171,6688,53.66,5,3590,15.25,1,26.07
00703,1095,9550,16.17,2,1545,0,0,24.77
00706L,7254,158271,28.43,43,45029,17.08,13,9.81
00708L,14884,109073,21.4,22,23373,11.91,6,25.84
00709,2504,15460,36.64,9,5666,0,0,24.83
00710B,3786,180761,81.76,9,147808,80.75,5,4.9
00711B,814,872261,99.35,5,866653,99.31,4,0.17
00712,142005,5346011,31.91,1209,1706707,20.75,209,6.0
00713,277500,1759512,23.26,79,409664,22.12,48,31.98
00714,2589,21067,41.55,11,8759,12.32,2,24.57
00715L,8426,127192,40.22,24,51180,34.77,12,13.79
00717,7861,126605,28.63,30,36283,19.42,10,15.65
00719B,14513,547014,60.54,56,331233,56.05,16,6.16
00720B,82202,4103609,65.02,323,2669130,61.51,77,4.72
00722B,14091,1457239,89.68,39,1306933,89.17,26,2.56
00723B,461,1520083,99.75,14,1516517,99.65,11,0.05
00724B,6517,3087775,97.6,33,3014461,97.46,24,0.52
00725B,43344,3744206,81.68,168,3059064,79.92,59,2.83
00726B,1831,1194489,97.94,22,1170158,97.64,15,0.34
00727B,712,56689,90.4,6,51256,88.18,4,2.79
00728,9615,38923,1.53,1,597,0,0,50.16
00730,13563,74044,20.17,10,14942,17.56,6,39.62
00731,8711,23600,23.52,5,5556,15.53,2,52.91
00733,21837,70466,20.07,11,14155,15.59,5,50.22
00734B,554,25979,83.68,3,21742,81.11,2,4.84
00735,29123,102289,20.08,15,20556,14.75,5,39.66
00736,525,6227,73.24,6,4561,39.78,2,10.25
00737,5515,22538,12.2,4,2752,4.88,1,45.09
00738U,35036,237299,18.56,37,44109,11.84,11,28.36
00739,2024,25988,37.07,9,9637,18.77,2,17.61
00740B,6144,2159971,96.82,47,2091913,96.39,31,0.61
00741B,1229,13628,44.05,2,6004,44.05,2,18.82
00746B,1377,2535464,99.55,26,2524445,99.46,21,0.09
00749B,204,1104500,99.78,7,1102227,99.75,6,0.03
00750B,74,148000,99.61,4,147442,99.32,3,0.04
00751B,69690,5155103,74.72,331,3852933,72.01,95,3.13
00752,17666,301716,38.84,39,117262,34.07,14,14.28
00753L,10947,732657,52.28,251,383258,37.84,80,3.14
00754B,456,1405900,99.76,15,1402598,99.73,14,0.05
00755B,1061,280230,97.75,8,273961,97.59,7,0.85
00756B,2384,1506800,97.88,18,1475138,97.7,13,0.33
00757,74130,290994,31.5,33,91723,28.38,17,33.37
00758B,123,5525,90.49,1,5000,90.49,1,2.14
00759B,120,47525,98.89,1,47000,98.89,1,0.16
00760B,663,435020,99.09,6,431084,99.09,6,0.29
00761B,3609,2732589,98.53,33,2692991,98.36,25,0.29
00762,22875,47248,18.83,7,8905,13.6,3,52.22
00763U,4866,50565,54.71,19,27675,44.25,10,19.24
00764B,9091,1562000,93.53,34,1461214,93.03,20,1.46
00768B,1751,763600,98.2,27,750051,97.53,20,0.4
00770,18760,80958,12.11,10,9823,6.49,4,41.54
00771,2123,14225,15.1,2,2150,11.94,1,30.59
00772B,42642,3404790,80.03,146,2725878,78.25,44,2.94
00773B,9475,2555290,95.39,42,2438039,95.01,26,0.87
00775B,185,232100,99.85,8,231777,99.23,6,0.07
00777B,221,1920650,99.93,13,1919360,99.88,12,0.01
00778B,190,1505650,99.94,12,1504926,99.89,10,0.01
00779B,683,1297150,99.55,9,1291456,99.48,8,0.1
00780B,1349,268102,97.53,10,261492,96.57,7,1.21
00781B,681,8336,30.72,3,2562,17.99,1,18.09
00782B,1244,19467,19.94,4,3886,11.49,2,16.49
00783,839,8031,13.59,2,1092,0,0,23.04
00785B,249,1082966,99.83,11,1081256,99.75,9,0.02
00786B,1379,22066,33.48,7,7393,18.51,2,16.13
00787B,1069,12806,40.82,6,5230,15.61,1,17.46
00788B,1583,25706,25.29,8,6508,11.98,2,15.41
00789B,380,455600,99.38,11,452790,99.07,9,0.18
00791B,99,279600,99.72,7,278827,99.5,6,0.02
00792B,457,2277115,99.84,14,2273526,99.84,14,0.03
00793B,437,3526,17.16,1,605,0,0,24.25
00795B,40340,1694598,57.21,154,969860,53.48,47,5.75
00799B,1761,25536,17.3,4,4420,10.8,2,17.58
00830,157377,695965,24.6,57,171305,21.69,26,35.55
00834B,142,23198,96.13,5,22302,94.36,4,1.01
00836B,430,611541,99.58,13,609075,99.14,9,0.11
00840B,90,59431,99.27,3,59000,99.27,3,0.14
00841B,117,70440,98.66,4,69500,98.66,4,0.21
00842B,777,16267,51.58,5,8393,44.5,3,11.06
